#Frame        curve:0      curve:1      curve:2      curve:3      curve:4
       1       1.0000       1.0000       1.0000       1.0000       1.0000
       2       0.0000       0.3526       0.3020       0.3333       0.4628
       3       0.0000       0.1263       0.1074       0.0000       0.2645
       4       0.0000       0.0368       0.0336       0.0000       0.1157
       5       0.0000       0.0105       0.0336       0.0000       0.0455
       6       0.0000       0.0000       0.0067       0.0000       0.0124
       7       0.0000       0.0000       0.0067       0.0000       0.0083
